date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:23	30410/30410	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:55:22%20GMT	https://www.andspaces.in/	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/index.html	(from )
13:25:25	219/219	---M--	302	error ('Found')	text/html	date:Wed,%2029%20Apr%202020%2008:55:24%20GMT	https://www.andspaces.in/robots.txt		(from )
13:25:25	219/219	---M--	302	error ('Found')	text/html	date:Wed,%2029%20Apr%202020%2008:55:25%20GMT	https://www.andspaces.in/img/favicon.ico	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/img/favicon.ico	(from https://www.andspaces.in/)
13:25:32	31030/31030	---M--	200	added ('OK')	text/css	etag:%225942d49-7936-5644934fded00%22	https://www.andspaces.in/css/font-awesome.min.css	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/css/font-awesome.min.css	(from https://www.andspaces.in/)
13:25:39	4028/4028	---M--	200	added ('OK')	text/css	etag:%225942d4c-fbc-5499c67fe5400%22	https://www.andspaces.in/css/owl.carousel.css	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/css/owl.carousel.css	(from https://www.andspaces.in/)
13:25:45	144877/144877	---M--	200	added ('OK')	text/css	etag:%225942d47-235ed-563021cee0a80%22	https://www.andspaces.in/css/bootstrap.min.css	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/css/bootstrap.min.css	(from https://www.andspaces.in/)
13:25:51	2737/2737	---M--	200	added ('OK')	image/svg+xml	etag:%225942d5e-ab1-58d461428d240%22	https://www.andspaces.in/img/animated_logo_dark.svg	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/img/animated_logo_dark.svg	(from https://www.andspaces.in/)
13:25:55	10822/10822	---M--	200	added ('OK')	image/png	etag:%225942d5d-2a46-58b5d52beab00%22	https://www.andspaces.in/img/logoDark_Small.png	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/img/logoDark_Small.png	(from https://www.andspaces.in/)
13:25:56	84380/84380	---M--	200	added ('OK')	application/javascript	etag:%225942e00-1499c-5882043c70240%22	https://www.andspaces.in/js/jquery.min.js	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/js/jquery.min.js	(from https://www.andspaces.in/)
13:25:57	30410/30410	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:55:56%20GMT	https://www.andspaces.in/index.php	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/index-2.html	(from https://www.andspaces.in/)
13:26:03	24116/24116	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:55:58%20GMT	https://www.andspaces.in/about.php	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/about.html	(from https://www.andspaces.in/)
13:26:04	23136/23136	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:55:59%20GMT	https://www.andspaces.in/portfolio.php	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/portfolio.html	(from https://www.andspaces.in/)
13:26:04	75052/75052	---M--	200	added ('OK')	text/css	etag:%225942d46-1252c-564af18390e00%22	https://www.andspaces.in/css/animate.css	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/css/animate.css	(from https://www.andspaces.in/)
13:26:07	55156/55156	---M--	200	added ('OK')	text/css	etag:%2258a0d9e-d774-58e43033d1f4d%22	https://www.andspaces.in/css/style.css?v2.4	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/css/style2c2b.css	(from https://www.andspaces.in/)
13:26:30	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Apr%202020%2008:56:28%20GMT	https://www.andspaces.in/pay	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/pay.d.delayed	(from https://www.andspaces.in/)
13:26:38	1267/1267	---M--	200	added ('OK')	image/png	etag:%225942d65-4f3-565414779d680%22	https://www.andspaces.in/img/icon/dark/1.png	/Users/Carmen/Writing/CPY/andspaces/www.andspaces.in/img/icon/dark/1.png	(from https://www.andspaces.in/)
